word	pos_tok_MBOF	abs_tok_MBOF	pos_type_MBOF	abs_type_MBOF	es_pos_tok_MBPF	es_abs_tok_MBPF	es_pos_type_MBPF	es_abs_type_MBPF	
camionero	5460.925112	34941.069002	2850.750000	20169.750000	5408.681580	37882.950186	2753.625000	19534.750000	
muñeco	2619.142586	17198.626398	888.200000	8896.600000	1935.156309	15353.580808	721.400000	7732.200000	
caricia	10272.494405	38591.822501	4141.833333	27715.666667	9058.565498	32373.028675	3520.166667	25918.000000	
monólogo	5243.715522	17859.831829	2103.571429	11005.714286	5560.503267	25786.329424	2154.571429	14544.285714	
rezo	6468.676005	21438.081809	5706.666667	15256.333333	7705.109639	12281.819335	6039.666667	9948.666667	
peseta	7166.329501	42197.365084	5967.000000	24889.800000	7096.620240	44097.364875	5841.200000	26015.600000	
escote	8176.582219	42695.718976	3238.200000	23239.000000	9157.859434	44433.530863	4080.000000	23971.800000	
jubilado	3655.138797	28234.193980	3007.142857	18156.142857	3329.996572	25662.226714	2683.000000	14779.285714	
bidones	3633.604278	41739.399334	1574.166667	23960.166667	4805.145278	43003.621670	1925.666667	20704.833333	
albañil	3066.316299	12668.637512	1298.833333	8962.500000	3260.787291	12789.819003	1396.666667	9026.500000	
moqueta	3039.654244	29350.016822	2292.666667	12535.500000	3335.810058	24769.615748	2470.400000	14324.800000	
humareda	3997.185013	27578.588476	2626.142857	22688.714286	3620.883795	28605.943860	2046.166667	23085.666667	
sartén	6620.606612	19011.691133	2531.600000	18979.800000	9901.705543	49164.135360	4095.400000	32181.800000	
comisuras	9226.824186	32821.861769	4246.625000	20389.500000	9584.065652	33308.755352	4699.875000	21055.125000	
antepasado	4812.683750	39577.797807	3394.888889	26627.333333	4843.104518	39234.803906	3013.666667	26162.333333	
envoltorio	6178.475256	30138.926899	2260.333333	15224.444444	2348.189996	20669.989320	1627.000000	10520.222222	
mantel	8488.739360	48860.739254	4033.400000	24630.200000	9011.787318	50371.864029	3957.600000	26993.200000	
rosal	9098.888869	43913.521139	2677.250000	27204.000000	8990.822053	35414.803665	2723.000000	22379.000000	
riñón	745.184221	13420.252875	296.000000	6238.750000	2153.226436	19961.193542	1086.250000	8452.250000	
digestión	4445.435800	31025.123405	1983.125000	14632.875000	4821.749820	37028.854478	2073.625000	16412.250000	
cabalgata	4042.386472	23290.186683	2461.125000	17220.250000	3972.425297	24186.945009	2669.875000	18547.625000	
rectángulo	3395.717788	17465.834219	3171.000000	12721.222222	3703.103162	16388.142491	3296.888889	10636.111111	
relojería	5673.969954	30954.357406	3608.500000	16431.125000	5727.515165	28386.192278	3838.500000	15396.125000	
libreta	4768.670233	25235.614497	2890.000000	17919.833333	5384.448002	23730.571853	3084.166667	16232.500000	
pelotazo	5800.223431	25791.306828	2209.285714	12212.142857	6021.650853	28634.793909	2424.000000	13438.285714	
vitaminas	3252.160048	30025.426607	2295.250000	20057.500000	3668.165707	29276.541583	2554.875000	19525.125000	
grifo	2850.861750	11912.671067	1145.000000	8231.750000	2847.107359	8601.164687	1088.500000	7479.000000	
quirófano	5298.413146	18009.272635	1126.625000	9799.375000	2651.432892	19490.527104	1741.000000	14360.142857	
cuchilla	2785.161986	19740.852625	1638.857143	10853.285714	1110.950895	3718.558873	713.400000	3357.000000	
taburete	3625.975396	28411.225468	1838.571429	19438.571429	3264.926292	26547.031114	1894.142857	18177.857143	
vodka	2192.134258	4141.819954	437.000000	1642.000000	3535.489881	12336.175329	1534.750000	8477.250000	
barriga	6047.011443	21870.791590	3112.000000	22012.166667	2293.596289	5358.187172	1624.600000	4694.800000	
manivela	4066.302850	36116.037833	2345.571429	17492.428571	4639.102940	36738.647719	2364.428571	19130.571429	
cremallera	3555.622036	35479.035860	2197.333333	22996.333333	3752.179067	28042.353762	2393.500000	18371.375000	
prisionera	4831.635405	36661.278982	2502.333333	20911.111111	4915.167149	37583.330732	2482.777778	20799.777778	
mordisco	4596.726609	25422.773335	1963.000000	16344.000000	4246.195030	22961.745405	1745.571429	14926.000000	
candado	8643.058413	38570.563562	3903.500000	31815.833333	7376.022103	32314.528186	3563.666667	27775.833333	
anís	1993.160176	18063.151363	985.666667	14118.000000	3941.087850	28858.339008	1495.333333	25249.333333	
tufo	1058.273919	5389.248101	531.333333	3114.666667	1101.964191	4773.496853	546.333333	2798.666667	
antebrazo	4682.777816	30030.395046	2480.500000	18930.250000	5252.859110	33466.803463	2720.000000	22113.750000	
ciprés	1528.676269	17014.281907	724.000000	7404.000000	5055.455974	36008.725732	2222.800000	19528.800000	
aceitunas	2133.320826	24523.343033	2072.625000	13797.625000	2287.541473	24921.087229	1804.750000	13721.375000	
negrura	3108.873124	19535.215188	2027.500000	12842.000000	3162.824758	18475.299303	2046.000000	13092.166667	
pito	3097.951118	19012.026628	1576.666667	9696.333333	3337.100665	19378.798561	1701.000000	9880.333333	
pecas	7345.021361	33758.648753	3983.750000	23622.250000	6550.589718	32855.113812	3934.250000	22865.500000	
lavabo	12105.826909	22795.236984	1112.000000	12809.600000	13642.340117	28645.228091	1985.200000	19826.800000	
arruga	1180.938238	16842.010301	1635.600000	18868.800000	502.717770	3300.511800	993.750000	3821.000000	
toldo	4076.680934	24433.709164	1734.000000	17450.500000	3939.043586	16895.312029	1530.500000	12796.000000	
cazadora	4821.811611	34797.804121	2774.285714	26162.571429	5255.223952	35661.555283	3230.285714	25039.428571	
fresa	5391.220661	43557.054140	2209.750000	26729.250000	5528.395812	40334.963832	2393.750000	23381.000000	
búho	83.393833	2607.587938	84.000000	1022.666667	465.129192	471.942663	417.000000	448.000000	
centímetro	3425.673662	31379.056212	1772.000000	16340.777778	4239.152078	35524.308132	2311.111111	18995.000000	
neblina	3772.000286	20063.392681	2130.500000	12607.500000	3830.670212	20137.045548	2347.166667	12591.333333	
repisa	5449.904895	21668.674954	4739.200000	16649.000000	5711.182256	13651.481291	4810.400000	12155.800000	
escoba	7639.247111	35694.194692	2922.800000	20924.400000	8893.024904	38337.903456	3910.200000	22498.800000	
maleza	4759.935096	22346.823933	2989.000000	14727.200000	6121.216995	24620.889572	3156.600000	15914.600000	
roedores	2622.808318	42242.224233	1657.000000	26139.000000	2226.427470	33647.196570	1658.571429	18334.285714	
bordados	7409.806744	36174.449768	3193.000000	25306.571429	6767.221373	33366.360120	2955.142857	21526.142857	
súplica	2586.745685	14766.158325	1609.500000	10842.000000	4873.543169	17018.809909	2328.833333	11757.000000	
coloquio	8202.339591	25735.632574	3375.000000	12335.142857	10548.802908	26965.418112	3859.166667	13340.666667	
sujetador	4786.664173	27316.870491	2940.375000	18383.500000	4718.378367	26601.703323	2875.625000	16516.875000	
hipófisis	946.767302	10869.505010	897.500000	7198.500000	955.482914	15721.393325	973.857143	8767.714286	
fuego	14409.767141	20582.461713	981.000000	4703.250000	6069.063846	11064.799265	677.250000	2958.000000	
verso	6865.687782	26215.800746	2499.000000	14031.250000	6883.000892	25008.597590	2524.000000	13303.250000	
tiro	5175.833001	25690.709432	1653.333333	16975.333333	4495.351050	23778.589632	1593.666667	15816.333333	
pastel	11588.787799	47434.074536	3642.800000	23193.400000	11825.908364	49000.980312	3623.400000	23807.400000	
